7001 Вега
7106 Шелиак
7116 Аин Аль Рами
7121 Нунки
7141 Алия
7176 Денеб ел окаб
7178 Сулафат
7194 Асцелла
7228 Южная полярная
7235 Денеб ел окаб
7254 Альдфесса Меридиана
7264 Албалдах
7298 Аладфар
7310 Нодис Секундус
7337 Аркаб приор
7343 Аркаб постериор
7348 Рубат
7405 Ансер
7417 Альбирео
7462 Альсафи
7479 Шам
7525 Таразед
7557 Альтаир
7582 Тил
7597 Теребеллум 2
7602 Альшаин
7604 Теребеллум 1
7747 Прима Гиеди
7754 Секунда Гиеди
7773 Альшат
7776 Дабих
7790 Пекок
7796 Садр
7852 Денеб дулфим
7882 Ротанев
7906 Суалокин
7924 Денеб
7949 Гиенах Лебедя
7950 Албали
8131 Китальфа
8162 Альдерамин
8232 Садалсууд
8238 Албфирк
8278 Нашира
8301 Азелфафаг
8308 Эниф
8316 'Гранатовая звезда'
8322 Денеб алгеди
8414 Садалмелик
8417 Алькурхах
8425 Алнаир
8450 Бахам
8499 Анча
8518 Садалакбия
8591 Аль кальб аль раи
8610 Ситула
8634 Хомам
8650 Матар
8684 Садал Бари
8709 Скат
8728 Фомальгаут
8773 Фум аль самаках
8775 Шеат
8781 Маркаб
8880 Салм
8974 Альраи
