Муха,Мухи,Musca,Muscae,Mus,10650,-4320
Насос,Насоса,Antlia,Antliae,Ant,9600,-2100
Наугольник,Наугольника,Norma,Normae,Nor,14550,-3300
Овен,Овна,Aries,Arietis,Ari,2700,900
Октант,Октанта,Octans,Octantis,Oct,18450,-4920
Орел,Орла,Aquila,Aquilae,Aql,18000,-180
Орион,Ориона,Orion,Orionis,Ori,4800,840
Павлин,Павлина,Pavo,Pavonis,Pav,16950,-3900
Паруса,Парусов,Vela,Velorum,Vel,8550,-2700
Пегас,Пегаса,Pegasus,Pegasi,Peg,20400,1020
Персей,Персея,Perseus,Persei,Per,4050,2700
Печь,Печи,Fornax,Fornacis,For,2700,-2100
Райская Птица,Райской Птицы,Apus,Apodis,Aps,14400,-4500
Рак,Рака,Cancer,Cancri,Cnc,7800,900
Резец,Резца,Caelum,Caeli,Cae,4350,-2340
Рыбы,Рыб,Pisces,Piscium,Psc,900,720
Рысь,Рыси,Lynx,Lyncis,Lyn,7650,2520
Сев. Корона,Сев. Короны,Corona Borealis,Coronae Borealis,CrB,14550,2340
Секстант,Секстанта,Sextans,Sextantis,Sex,9600,-240
Сетка,Сетки,Reticulum,Reticuli,Ret,3600,-3480
Скорпион,Скорпиона,Scorpius,Scorpii,Sco,15600,-1920
Скульптор,Скульптора,Sculptor,Sculptoris,Scl,1200,-1980
Столовая гора,Столовой горы,Mensa,Mensae,Men,5400,-4620
Стрела,Стрелы,Sagitta,Sagittae,Sge,17550,1140
Стрелец,Стрельца,Sagittarius,Sagittarii,Sgr,17850,-1080
Телескоп,Телескопа,Telescopium,Telescopii,Tel,17100,-3060
Телец,Тельца,Taurus,Tauri,Tau,4800,1560
Треугольник,Треугольника,Triangulum,Trianguli,Tri,1800,1980
Тукан,Тукана,Tucana,Tucanae,Tuc,0,-4080
Феникс,Феникса,Phoenix,Phoehicis,Phe,0,-3120
Хамелеон,Хамелеона,Chamaeleon,Chamaeleontis,Cha,9900,-4800
Цефей,Цефея,Cepheus,Cephei,Cep,19800,4200
Циркуль,Циркуля,Circinus,Circini,Cir,13500,-3600
Часы,Часов,Horologium,Horologii,Hor,3600,-2700
Чаша,Чаши,Crater,Crateris,Crt,10650,-1320
Щит,Щита,Scutum,Scuti,Sct,16950,-660
Эридан,Эридана,Eridanus,Eridani,Eri,3900,-900
Южная Гидра,Южной Гидры,Hydrus,Hydri,Hyi,1200,-4320
Южная Корона,Южной Короны,Corona Australis,Coronae Australis,CrA,16950,-2520
Южная Рыба,Южной Рыбы,Piscis Austrinus,Piscis Austrini,PsA,20250,-1920
Южный Крест,Южного Креста,Crux,Crucis,Cru,11550,-3660
Южный Треугольник,Южного Треугольника,Triangulum Australis,Trianguli Austrini,TrA,14700,-3720
Ящерица,Ящерицы,Lacerta,Lacertae,Lac,20550,2400
